test	pval
Antechinus_flavipes	NA
Dasyurus_viverrinus	NA
Dromiciops_gliroides	NA
Gracilinanus_agilis	NA
Lagorchestes_hirsutus	NA
Macropus_fuliginosus	0.02093
Macropus_giganteus	NA
Macrotis_lagotis	NA
Monodelphis_domestica	NA
Myrmecobius_fasciatus	NA
Notamacropus_eugenii	0.00513
Phalanger_gymnotis	0.02325
Potorous_gilbertii	NA
Pseudocheirus_occidentalis	NA
Pseudochirops_corinnae	NA
Pseudochirops_cupreus	NA
Sarcophilus_harrisii	NA
Sminthopsis_crassicaudata	NA
Thylacinus_cynocephalus	0.00019
Trichosurus_vulpecula	NA
Vombatus_ursinus	NA
