Test	LRT	p-value	K
Antechinus_flavipes	0.2847231557643681	0.5936220719818979	0.7143803117318474
Dasyurus_viverrinus	3.03092757412378	0.08169130249634826	0.1015190600912561
Dromiciops_gliroides	0.3881883888680022	0.5332532017979147	0.7581676292385171
Gracilinanus_agilis	0.7643278330288013	0.3819775227765934	1.41554843689101
Lagorchestes_hirsutus	0.2798763296414108	0.5967822861387885	0.4470578231131339
Macropus_fuliginosus	-3.941372415283695e-05	1	1.167723461152975
Macropus_giganteus	1.604708611677779	0.2052372062540375	0.05189652041119515
Macrotis_lagotis	1.658719660095812	0.1977762815346551	1.371373948695399
Monodelphis_domestica	0.06985940619051689	0.7915415944941078	0.8855363261332969
Myrmecobius_fasciatus	6.102517933788477	0.01349894073434932	0.3798500185507862
Notamacropus_eugenii	0.3202188875584397	0.5714761312796179	0.514731218969222
Phalanger_gymnotis	0.03781106044334592	0.8458230233494766	1.086074791284444
Potorous_gilbertii	0.9060833171570266	0.3411557702039139	2.399922319969588
Pseudocheirus_occidentalis	0.2254437166993739	0.6349230198067882	1.20677973731711
Pseudochirops_corinnae	0.01154960173880681	0.9144168590537116	1.105428913671247
Pseudochirops_cupreus	0.239301905316097	0.6247107707601242	1.266253473494733
Sarcophilus_harrisii	3.667902872122795	0.05546993692939606	0.0007986785136570752
Sminthopsis_crassicaudata	3.746498445590987	0.05291825914220838	2.258775338270721
Thylacinus_cynocephalus	6.277106435754831	0.01223076463028039	0.375087084923558
Trichosurus_vulpecula	0.1244655354093993	0.7242408325750074	1.203209204549434
Vombatus_ursinus	0.171044894039369	0.6791848420725705	0.7320547159259363
