Test	LRT	p-value	K
Antechinus_flavipes	0.1103776093186752	0.7397146419158669	0.6907606125966782
Dasyurus_viverrinus	0.0002307738996023545	0.9878796069940847	1.03980778048412
Dromiciops_gliroides	0.5856841818040266	0.4440928883880986	1.187802645248257
Gracilinanus_agilis	0.1694796011306607	0.6805747172975847	0.6204228746003637
Lagorchestes_hirsutus	0.01682020965381525	0.8968095180249889	1.088724688774046
Macropus_fuliginosus	-0.0001511217196821235	1	1.167723461152975
Macropus_giganteus	0.5510275265041855	0.4578981511255898	0.1708340508667319
Macrotis_lagotis	0.1541272789581853	0.6946219777222259	1.114700596245171
Monodelphis_domestica	2.449125750044914	0.1175903446866886	0.7171806155831297
Myrmecobius_fasciatus	0.0002040880335698603	0.9886018580873539	1.016375077068187
Notamacropus_eugenii	0.04965033180633327	0.8236728431099427	0.6546237400263286
Phalanger_gymnotis	1.202776275758879	0.2727674955509662	2.127702673239277
Potorous_gilbertii	0.02193644426188257	0.8822562982231298	0.925007412581191
Pseudocheirus_occidentalis	2.419480727325208	0.1198346479341358	0.415133106649142
Pseudochirops_corinnae	1.368367079827294	0.242092640257481	0
Pseudochirops_cupreus	3.785568237151892	0.05169635436218734	0
Sarcophilus_harrisii	0.5064986632114596	0.4766584989455821	0.191661758673591
Sminthopsis_crassicaudata	0.4500576661212108	0.5023075709539435	0.6339804367030749
Thylacinus_cynocephalus	0.4191887072174723	0.517342141439315	0.6765753391597223
Trichosurus_vulpecula	0.04675365363436867	0.8288116408984156	0.6963557589858991
Vombatus_ursinus	0.3875616141212959	0.5335839136204474	1.174331787820695
