test	pval
Antechinus_flavipes	0.00223
Dasyurus_viverrinus	NA
Dromiciops_gliroides	0.00118
Gracilinanus_agilis	0.04350
Lagorchestes_hirsutus	NA
Macropus_fuliginosus	NA
Macropus_giganteus	NA
Macrotis_lagotis	NA
Monodelphis_domestica	NA
Myrmecobius_fasciatus	NA
Notamacropus_eugenii	0.00355
Phalanger_gymnotis	NA
Potorous_gilbertii	NA
Pseudocheirus_occidentalis	NA
Pseudochirops_corinnae	NA
Pseudochirops_cupreus	NA
Sarcophilus_harrisii	NA
Sminthopsis_crassicaudata	NA
Thylacinus_cynocephalus	NA
Trichosurus_vulpecula	NA
Vombatus_ursinus	NA
