test	pval
Antechinus_flavipes	NA
Dasyurus_viverrinus	NA
Dromiciops_gliroides	NA
Gracilinanus_agilis	NA
Lagorchestes_hirsutus	0.04776
Macropus_fuliginosus	NA
Macropus_giganteus	NA
Macrotis_lagotis	NA
Monodelphis_domestica	NA
Myrmecobius_fasciatus	NA
Notamacropus_eugenii	NA
Phalanger_gymnotis	NA
Potorous_gilbertii	NA
Pseudocheirus_occidentalis	NA
Pseudochirops_corinnae	0.00000
Pseudochirops_cupreus	0.00000
Sarcophilus_harrisii	NA
Sminthopsis_crassicaudata	NA
Thylacinus_cynocephalus	0.00000
Trichosurus_vulpecula	NA
Vombatus_ursinus	NA
