test	back	pval	kval
Antechinus_flavipes	`Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Sarcophilus_harrisii,Dasyurus_viverrinus,Node12,Node10,Node8,Node6,Node4,Node2,Phalanger_gymnotis,Trichosurus_vulpecula,Node18,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Node26,Node24,Lagorchestes_hirsutus,Node23,Node21,Node17,Pseudochirops_cupreus,Pseudochirops_corinnae,Node31,Pseudocheirus_occidentalis,Node30,Node16,Vombatus_ursinus,Node15,Node1,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis,Node37`	0.0093	0.00
Dasyurus_viverrinus	`Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Node12,Node10,Node8,Node6,Node4,Node2,Phalanger_gymnotis,Trichosurus_vulpecula,Node18,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Node26,Node24,Lagorchestes_hirsutus,Node23,Node21,Node17,Pseudochirops_cupreus,Pseudochirops_corinnae,Node31,Pseudocheirus_occidentalis,Node30,Node16,Vombatus_ursinus,Node15,Node1,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis,Node37`	0.3206	0.00
Dromiciops_gliroides	`Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Node12,Node10,Node8,Node6,Node4,Node2,Phalanger_gymnotis,Trichosurus_vulpecula,Node18,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Node26,Node24,Lagorchestes_hirsutus,Node23,Node21,Node17,Pseudochirops_cupreus,Pseudochirops_corinnae,Node31,Pseudocheirus_occidentalis,Node30,Node16,Vombatus_ursinus,Node15,Node1,Monodelphis_domestica,Gracilinanus_agilis,Node37`	0.0920	0.39
Gracilinanus_agilis	`Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Node12,Node10,Node8,Node6,Node4,Node2,Phalanger_gymnotis,Trichosurus_vulpecula,Node18,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Node26,Node24,Lagorchestes_hirsutus,Node23,Node21,Node17,Pseudochirops_cupreus,Pseudochirops_corinnae,Node31,Pseudocheirus_occidentalis,Node30,Node16,Vombatus_ursinus,Node15,Node1,Dromiciops_gliroides,Monodelphis_domestica,Node37`	0.0647	0.26
Lagorchestes_hirsutus	`Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Node12,Node10,Node8,Node6,Node4,Node2,Phalanger_gymnotis,Trichosurus_vulpecula,Node18,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Node26,Node24,Node23,Node21,Node17,Pseudochirops_cupreus,Pseudochirops_corinnae,Node31,Pseudocheirus_occidentalis,Node30,Node16,Vombatus_ursinus,Node15,Node1,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis,Node37`	0.7559	0.85
Macropus_fuliginosus	`Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Node12,Node10,Node8,Node6,Node4,Node2,Phalanger_gymnotis,Trichosurus_vulpecula,Node18,Potorous_gilbertii,Notamacropus_eugenii,Macropus_giganteus,Node26,Node24,Lagorchestes_hirsutus,Node23,Node21,Node17,Pseudochirops_cupreus,Pseudochirops_corinnae,Node31,Pseudocheirus_occidentalis,Node30,Node16,Vombatus_ursinus,Node15,Node1,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis,Node37`	1.0000	0.89
Macropus_giganteus	`Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Node12,Node10,Node8,Node6,Node4,Node2,Phalanger_gymnotis,Trichosurus_vulpecula,Node18,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Node26,Node24,Lagorchestes_hirsutus,Node23,Node21,Node17,Pseudochirops_cupreus,Pseudochirops_corinnae,Node31,Pseudocheirus_occidentalis,Node30,Node16,Vombatus_ursinus,Node15,Node1,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis,Node37`	0.3844	0.00
Macrotis_lagotis	`Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Node12,Node10,Node8,Node6,Node4,Node2,Phalanger_gymnotis,Trichosurus_vulpecula,Node18,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Node26,Node24,Lagorchestes_hirsutus,Node23,Node21,Node17,Pseudochirops_cupreus,Pseudochirops_corinnae,Node31,Pseudocheirus_occidentalis,Node30,Node16,Vombatus_ursinus,Node15,Node1,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis,Node37`	0.0861	0.54
Monodelphis_domestica	`Macrotis_lagotis,Thylacinus_cynocephalus,Myrmecobius_fasciatus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Node12,Node10,Node8,Node6,Node4,Node2,Phalanger_gymnotis,Trichosurus_vulpecula,Node18,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Node26,Node24,Lagorchestes_hirsutus,Node23,Node21,Node17,Pseudochirops_cupreus,Pseudochirops_corinnae,Node31,Pseudocheirus_occidentalis,Node30,Node16,Vombatus_ursinus,Node15,Node1,Dromiciops_gliroides,Gracilinanus_agilis,Node37`	0.0004	0.00
Myrmecobius_fasciatus	`Macrotis_lagotis,Thylacinus_cynocephalus,Sminthopsis_crassicaudata,Antechinus_flavipes,Sarcophilus_harrisii,Dasyurus_viverrinus,Node12,Node10,Node8,Node6,Node4,Node2,Phalanger_gymnotis,Trichosurus_vulpecula,Node18,Potorous_gilbertii,Notamacropus_eugenii,Macropus_fuliginosus,Macropus_giganteus,Node26,Node24,Lagorchestes_hirsutus,Node23,Node21,Node17,Pseudochirops_cupreus,Pseudochirops_corinnae,Node31,Pseudocheirus_occidentalis,Node30,Node16,Vombatus_ursinus,Node15,Node1,Dromiciops_gliroides,Monodelphis_domestica,Gracilinanus_agilis,Node37`	0.2135	0.60
