Test	LRT	p-value	K
Antechinus_flavipes	4.293482388562552	0.03825872675708375	3.748793848333189e-06
Dasyurus_viverrinus	0.6518634943968209	0.4194472186526205	2.129758226294633e-05
Dromiciops_gliroides	0.5692905030846305	0.4505409893980303	0.3011613721833409
Gracilinanus_agilis	1.691998014306591	0.1933377962723895	0.2199669037744501
Lagorchestes_hirsutus	0.03964689819622436	0.8421725620389926	0.820863680099905
Macropus_fuliginosus	-3.012843080796301e-06	1	1.167723461152975
Macropus_giganteus	0.4832518885195896	0.4869530253945823	1.308530799183586e-05
Macrotis_lagotis	0.9133587798678491	0.3392248035162536	0.647776666339405
Monodelphis_domestica	-1.417312887497246e-06	1	1.167723461152975
Myrmecobius_fasciatus	0.383140005505993	0.5359275309180229	0.7171057446924464
Notamacropus_eugenii	-2.202399628004059e-06	1	1
Phalanger_gymnotis	0.8660454228120216	0.3520524343131171	0.152403013353039
Potorous_gilbertii	0.03003604422701756	0.8624084709844915	0.8914166183894796
Pseudocheirus_occidentalis	0.1563327813091746	0.6925555272896124	1.145660478857877
Sarcophilus_harrisii	0.3518117366475053	0.5530893373797447	1.658669950345988
Sminthopsis_crassicaudata	0.07656183265862637	0.7820119390987962	1.177755016305398
Thylacinus_cynocephalus	82.64700554437877	0	10.49932493104259
Trichosurus_vulpecula	2.152054332811531	0.1423792696987799	0.0003981889087491075
Vombatus_ursinus	0.006283522747253301	0.9368189220566132	1.032829928951758
