Test	LRT	p-value	K
Antechinus_flavipes	6.766278750310448	0.009289633511937678	1.493590202661835e-05
Dasyurus_viverrinus	0.9809771663894935	0.3219576786020825	1.038569783889842e-05
Dromiciops_gliroides	2.840951978738303	0.09188975864676519	0.3930528442371277
Gracilinanus_agilis	3.411731818767294	0.06473447606008753	0.261405044976736
Lagorchestes_hirsutus	0.03115119474023231	0.8599034970484294	0.8799027576683048
Macropus_fuliginosus	-0.0002699024917092174	1	1.167723461152975
Macropus_giganteus	0.4388860135004506	0.5076606198385133	0.4516203861804544
Macrotis_lagotis	2.95817674132195	0.08544423980962657	0.5377687016915335
Monodelphis_domestica	12.65772350719271	0.0003740173520691004	2.910450070955795e-07
Myrmecobius_fasciatus	1.563791721371672	0.2111109019309022	0.610550198046078
Notamacropus_eugenii	0.1222867564501939	0.7265674311147856	0.4172821256138731
Phalanger_gymnotis	0.23280579715356	0.629451131722373	0.8094204363258436
Potorous_gilbertii	1.415428756074107	0.2341572752761163	0.2379327847020911
Pseudocheirus_occidentalis	0.0836685733665945	0.7723860893210969	0.8668196927320581
Pseudochirops_corinnae	64.87340227056848	7.771561172376096e-16	9.53315062526201
Pseudochirops_cupreus	74.35047442537325	0	5.614134728061175
Sarcophilus_harrisii	0.08421853835898219	0.7716599433444541	1.212949276864385
Sminthopsis_crassicaudata	0.7932520670619851	0.3731185798757337	0.2750265304488505
Thylacinus_cynocephalus	0.01050831846441724	0.9183518047244035	17.99244169788148
Trichosurus_vulpecula	3.587119986044854	0.05822907521582077	0.07082561806557972
Vombatus_ursinus	0.3918253148040094	0.5313414960790207	0.813106486772898
