Test	LRT	p-value	K
Antechinus_flavipes	5.706252399460936	0.01690459002219646	0.000224278814322044
Dasyurus_viverrinus	0.9645193131727865	0.326050860614736	0.2379272107997369
Dromiciops_gliroides	0.07035643674316816	0.7908185141113437	0.9540403637555036
Gracilinanus_agilis	1.052847643462883	0.3048521594632214	0.03445128461867963
Lagorchestes_hirsutus	4.40290963188454	0.03587766926084435	1.089118327909116e-05
Macropus_fuliginosus	3.194290434461436	0.07389583162696367	1.699612917690477
Macropus_giganteus	1.672294075688114	0.1959515435686343	0
Macrotis_lagotis	2.483462574455189	0.1150487220313249	1.644714276708012e-05
Monodelphis_domestica	0.7539842972837505	0.3852177031421739	0.8682241291470234
Myrmecobius_fasciatus	1.155659446783829	0.2823675553607397	1.197546455989755
Notamacropus_eugenii	3.445922079292359	0.06340803149988439	1.48919900900204
Phalanger_gymnotis	0.05650702486309456	0.8121044269746118	1.047140405948156
Potorous_gilbertii	0.08013357081654249	0.7771164813802415	1.069038792596556
Pseudocheirus_occidentalis	1.657463556999573	0.1979461376145217	0.0001780959372293614
Pseudochirops_corinnae	0.2716738476592582	0.6022111450383174	0.8569754499353832
Pseudochirops_cupreus	0.7003517671837471	0.4026655206701202	0.5839968044837689
Sarcophilus_harrisii	0.1442399415609543	0.7041017971753059	0.82044274851332
Sminthopsis_crassicaudata	8.342276851180941e-05	0.9927125376777196	0.9860738471625449
Thylacinus_cynocephalus	1.734970529054408	0.1877773578755537	1.288339071658058
Trichosurus_vulpecula	3.023308979369176	0.08207584148896652	0.1346287557387004
Vombatus_ursinus	0.2716610893039615	0.6022196700326501	0.9231899528046043
